Transaction Amount,Transaction Frequency,Geographic Location,Time of Transaction,Cardholder’s Purchase History,Merchant Category,CNP Transactions,Device Information,Velocity Checks,Failed Authentication Attempts,Card Expiration Date and CVV,International Transactions,Fraudulent
84.03,2,Local,Usual,Consistent,Low Risk,No,Unknown,High,None,Correct,No,False
1.9,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
96.14,6,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
94.7,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Incorrect,No,False
95.95,1,Foreign,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
287.79,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
114.51,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
44.55,6,Local,Usual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,Yes,True
57.45,0,Foreign,Usual,Inconsistent,High Risk,No,Unknown,High,Multiple,Correct,Yes,True
119.61,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
6.21,3,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
109.89,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
111.06,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
23.62,2,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,Yes,False
13.8,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
189.5,8,Foreign,Unusual,Consistent,High Risk,Yes,Unknown,High,Multiple,Correct,No,True
45.21,2,Local,Unusual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,Yes,False
84.44,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
57.73,0,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,Yes,False
445.45,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
10.76,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
23.43,9,Foreign,Unusual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,Yes,True
17.59,3,Local,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
105.87,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
29.21,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
62.79,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
28.03,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
17.31,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
11.7,6,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
106.81,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
14.87,0,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
21.89,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,No,False
46.0,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
172.03,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
10.21,3,Local,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
181.98,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
10.1,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
374.9,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
63.23,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
376.19,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
92.85,4,Foreign,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
134.42,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
4.0,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
33.24,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
12.81,3,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
35.12,0,Local,Unusual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
12.64,1,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
38.27,6,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
53.49,0,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
6.63,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
117.92,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
83.61,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
30.84,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
74.08,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
9.87,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
85.79,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
264.93,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
38.36,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
110.08,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
14.13,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
125.99,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
34.17,2,Local,Usual,Inconsistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
20.24,5,Foreign,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
88.31,0,Local,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
10.149999999999999,5,Foreign,Unusual,Inconsistent,Low Risk,Yes,Known,High,None,Correct,Yes,True
176.57,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
0.47,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
113.26,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,Yes,False
31.47,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
132.88,4,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
327.51,2,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
28.6,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
85.84,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
89.66,3,Local,Unusual,Consistent,High Risk,No,Unknown,Normal,None,Correct,No,False
84.92,2,Local,Unusual,Inconsistent,High Risk,No,Known,High,Multiple,Correct,Yes,True
25.24,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
305.23,3,Local,Usual,Consistent,High Risk,Yes,Known,High,None,Correct,No,False
11.852,7,Foreign,Unusual,Consistent,High Risk,No,Known,Normal,None,Incorrect,Yes,True
187.35,0,Local,Usual,Consistent,High Risk,Yes,Known,High,None,Correct,No,False
120.22,0,Local,Unusual,Consistent,High Risk,No,Unknown,Normal,None,Correct,No,False
35.3,1,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
33.618,8,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,True
50.5,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
212.95,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
87.05,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,Yes,False
213.48,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
117.94,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,Yes,False
129.19,0,Local,Usual,Consistent,High Risk,No,Unknown,Normal,Multiple,Correct,No,False
69.58,2,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
312.55,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
103.28,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
55.14,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
93.24,1,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
9.7,2,Foreign,Usual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,Yes,True
35.89,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
539.6500000000001,4,Foreign,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,Yes,True
171.29999999999998,5,Local,Usual,Inconsistent,High Risk,Yes,Unknown,High,Multiple,Correct,Yes,True
96.24,4,Local,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Incorrect,No,False
56.0,0,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
14.56,3,Local,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
35.42,1,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
84.39,0,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
89.37,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
85.41,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
105.9,1,Local,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
105.58,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
56.46,2,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
226.86,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
45.82,0,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
286.25,1,Foreign,Unusual,Inconsistent,Low Risk,No,Unknown,High,None,Correct,Yes,True
1112.45,6,Local,Unusual,Inconsistent,High Risk,Yes,Known,High,Multiple,Correct,Yes,True
164.09,4,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
121.7,1,Local,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,Yes,False
10.56,1,Foreign,Unusual,Consistent,High Risk,No,Known,Normal,Multiple,Correct,No,False
251.93,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
125.26,4,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
676.54,3,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
16.19,3,Local,Unusual,Inconsistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
202.59,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
17.73,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
95.6,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
13.22,3,Foreign,Unusual,Inconsistent,High Risk,Yes,Known,High,None,Incorrect,Yes,True
188.39,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
164.67,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
84.19,2,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,Yes,False
52.29,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
1.4340000000000002,4,Foreign,Unusual,Inconsistent,High Risk,Yes,Unknown,Normal,None,Correct,No,True
119.54,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
60.43,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
128.03,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
201.28,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
371.0,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
193.66,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Incorrect,Yes,False
1.18,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
44.63,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
130.93,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Incorrect,No,False
18.83,1,Local,Unusual,Consistent,High Risk,No,Known,Normal,Multiple,Correct,No,False
73.61,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
5.59,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
22.31,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
1.87,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
157.84,5,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
25.35,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
42.37,2,Foreign,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
263.22,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
121.88,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
3.24,5,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
18.0,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
97.15,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,Yes,False
86.09,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
27.17,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
272.13,1,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
95.18,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
76.71,1,Local,Usual,Consistent,High Risk,No,Known,Normal,Multiple,Correct,Yes,False
89.14,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
130.98,2,Local,Usual,Inconsistent,High Risk,Yes,Known,Normal,None,Correct,No,False
37.39,5,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
50.79,2,Local,Usual,Consistent,Low Risk,Yes,Known,High,Multiple,Correct,No,False
23.55,0,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
20.6,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
288.91,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
134.53,1,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
67.42,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
25.8,1,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
29.35,3,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,Yes,False
5.98,4,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
56.99,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
37.37,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
119.19,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
47.44,6,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
19.8,3,Foreign,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
2.5,4,Foreign,Usual,Inconsistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,True
6.96,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
113.75,0,Foreign,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
60.46,4,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
76.91,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
226.98,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
463.97,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
24.45,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
108.79,2,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
30.56,2,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
10.45,2,Foreign,Usual,Inconsistent,Low Risk,Yes,Unknown,Normal,None,Correct,Yes,True
142.04,2,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,No,False
192.85,6,Foreign,Usual,Inconsistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,True
48.36,5,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
88.75,4,Local,Unusual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,No,False
177.81,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
99.15,3,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
206.08,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
31.96,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
159.97,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
20.53,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
305.32,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
116.31,4,Local,Usual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,No,False
24.27,3,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
294.45,1,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
131.25,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
29.3,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
23.99,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
73.02,2,Local,Unusual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
2.6,3,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
23.25,2,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
55.28,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
46.87,1,Foreign,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,Yes,False
62.28,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
32.52,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
88.38,3,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,Yes,False
199.4,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
12.5,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
72.85,0,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
14.16,3,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
126.18,0,Local,Unusual,Inconsistent,High Risk,No,Known,High,None,Correct,No,False
50.43,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
16.668000000000003,5,Foreign,Usual,Inconsistent,Low Risk,Yes,Known,Normal,None,Correct,No,True
20.25,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
15.65,2,Local,Unusual,Consistent,Low Risk,Yes,Unknown,High,None,Correct,No,False
66.95,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
43.95,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
282.06,1,Local,Usual,Consistent,High Risk,No,Known,Normal,Multiple,Correct,No,False
144.96,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
138.1,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
234.05,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
8.71,2,Local,Usual,Consistent,Low Risk,Yes,Known,High,None,Correct,No,False
80.34,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
87.82,2,Local,Usual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,No,False
326.85,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
34.55,2,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
27.55,3,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
10.57,1,Foreign,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
1.66,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
265.26,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
110.84,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
153.78,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
33.09,2,Local,Unusual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
88.29,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
6.61,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
66.48,3,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
379.4,0,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
209.16,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
41.27,0,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
325.89,3,Local,Usual,Consistent,High Risk,No,Known,High,None,Correct,No,False
131.8,1,Local,Unusual,Consistent,Low Risk,Yes,Unknown,High,None,Correct,No,True
298.22,3,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
283.66,3,Foreign,Usual,Inconsistent,Low Risk,Yes,Unknown,Normal,Multiple,Incorrect,No,True
160.55,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
99.55,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
207.38,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
34.68,5,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
189.01,0,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
96.2,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
1.33,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
42.65,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
16.03,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
400.79,1,Foreign,Unusual,Inconsistent,Low Risk,No,Known,Normal,None,Correct,No,True
65.08,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
68.79,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
20.404,8,Foreign,Unusual,Inconsistent,Low Risk,Yes,Known,High,Multiple,Correct,No,True
45.98,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
14.72,3,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
172.66,3,Foreign,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
21.05,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
71.6,5,Local,Unusual,Inconsistent,High Risk,No,Unknown,Normal,Multiple,Correct,No,True
25.4,3,Foreign,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
10.3,0,Local,Usual,Inconsistent,Low Risk,No,Known,Normal,Multiple,Correct,No,False
198.19,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,Yes,False
360.89,0,Local,Usual,Consistent,Low Risk,No,Unknown,Normal,None,Correct,No,False
324.0,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,Multiple,Correct,No,False
237.04,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
148.74,4,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
40.52,2,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
8.46,1,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
52.3,3,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
132.15,9,Foreign,Usual,Inconsistent,High Risk,Yes,Known,High,None,Correct,Yes,True
14.21,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
